"DIVIPOLA","Departamento","Municipio","Número de Atenciones 2017","Número de Atenciones 2018","Número de Atenciones 2019","Número de Personas Atendidas 2017","Número de Personas Atendidas 2018","Número de Personas Atendidas 2019","Variación 2017 -2018","Variación 2018 - 2019","Total Número de embarazos, partos y puerperios","Total Número de Personas Atendidas de embarazos, partos y puerperios","tasa representativa (aproximación)","Tasa representativa "
"68190","Santander","Cimitarra     ","","4","5","","1","4","1","0.75","9","5","1 ??/11","56%"
"68572","Santander","Puente Nacional    ","","3","11","","1","4","1","0.75","14","5","0 ??/10","36%"
"68770","Santander","Suaita     ","","5","6","","3","4","1","0.25","11","7","1 ??/11","64%"
"68820","Santander","Tona     ","","","4","","","4","#DIV/0!","1","4","4","1 ??/11","100%"
"70771","Sucre","Sucre     ","","4","5","","1","4","1","0.75","9","5","1 ??/11","56%"
"70820","Sucre","Santiago De Tolú   ","","","4","","","4","#DIV/0!","1","4","4","1 ??/11","100%"
"85430","Casanare","Trinidad     ","","18","9","","4","4","1","0","27","8","0 ??/10","30%"
"86001","Putumayo","Mocoa     ","","3","9","","2","4","1","0.5","12","5","0 ??/10","42%"
"5030"," Antioquia","Amagá     ","","","8","","","3","#DIV/0!","1","8","3","0 ??/10","38%"
"5091"," Antioquia","Betania     ","","6","10","","1","3","1","0.66666666666667","16","4","0 ??/10","25%"
"5368"," Antioquia","Jericó     ","","","8","","","3","#DIV/0!","1","8","3","0 ??/10","38%"
"5376"," Antioquia","La Ceja    ","","","7","","","3","#DIV/0!","1","7","3","0 ??/10","43%"
"5541"," Antioquia","Peñol     ","","","9","","","3","#DIV/0!","1","9","3","0 ??/10","33%"
"5607"," Antioquia","Retiro     ","","","11","","","3","#DIV/0!","1","11","3","0 ??/10","27%"
"8560","Atlántico","Ponedera     ","","16","8","","5","3","1","-0.66666666666667","24","8","0 ??/10","33%"
"13442","Bolívar","María La Baja   ","2","","3","2","","3","#DIV/0!","1","5","5","1 ??/11","100%"
"13549","Bolívar","Pinillos     ","","","15","","","3","#DIV/0!","1","15","3","0 ??/10","20%"
"13673","Bolívar","Santa Catalina    ","1","2","3","1","2","3","0.5","0.33333333333333","6","6","1 ??/11","100%"
"13780","Bolívar","Talaigua Nuevo    ","","","4","","","3","#DIV/0!","1","4","3","1 ??/11","75%"
"25126","Cundinamarca","Cajicá     ","","","9","","","3","#DIV/0!","1","9","3","0 ??/10","33%"
"25214","Cundinamarca","Cota     ","","11","4","","2","3","1","0.33333333333333","15","5","0 ??/10","33%"
"25513","Cundinamarca","Pacho     ","","4","5","","2","3","1","0.33333333333333","9","5","1 ??/11","56%"
"50226","Meta","Cumaral     ","","12","5","","4","3","1","-0.33333333333333","17","7","0 ??/10","41%"
"54743","Norte de Santander","Silos     ","","7","6","","2","3","1","0.33333333333333","13","5","0 ??/10","38%"
"66170","Risaralda","Dosquebradas     ","","4","7","","2","3","1","0.33333333333333","11","5","0 ??/10","45%"
"68327","Santander","Güepsa     ","","","5","","","3","#DIV/0!","1","5","3","1 ??/11","60%"
"68464","Santander","Mogotes     ","","6","7","","2","3","1","0.33333333333333","13","4","0 ??/10","31%"
"68500","Santander","Oiba     ","","4","3","","3","3","1","0","7","6","1 ??/11","86%"
"70204","Sucre","Coloso     ","","","4","","","3","#DIV/0!","1","4","3","1 ??/11","75%"
"70429","Sucre","Majagual     ","","","5","","","3","#DIV/0!","1","5","3","1 ??/11","60%"
